지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,1768.8
북춘천(93),127.75443,37.94738,1366.8
철원(95),127.3042,38.14787,1467.2
동두천(98),127.0607,37.90188,1412.7
파주(99),126.76648,37.88589,1438
대관령(100),128.71834,37.67713,1291.8
춘천(101),127.7357,37.90262,1389.8
백령도(102),124.71237,37.97396,938
북강릉(104),128.85535,37.80456,1634.1
강릉(105),128.89099,37.75147,1568.3
동해(106),129.12433,37.50709,1356.8
서울(108),126.9658,37.57142,1598.8
인천(112),126.6249,37.47772,1331.4
원주(114),127.94659,37.33749,1391.7
울릉도(115),130.89863,37.48129,1527.4
수원(119),126.983,37.25746,1409.4
영월(121),128.45743,37.18126,1507.5
충주(127),127.9525,36.97045,1661.6
서산(129),126.4939,36.77658,1529.7
울진(130),129.41278,36.99176,1317
청주(131),127.44066,36.63924,1805.6
대전(133),127.3721,36.37199,2042.5
추풍령(135),127.99458,36.22025,1551.5
안동(136),128.70733,36.57293,1518.7
상주(137),128.15741,36.40837,1670.6
포항(138),129.38002,36.03201,1112.2
군산(140),126.76135,36.0053,2120.8
대구(143),128.65296,35.87797,1321.8
전주(146),127.11718,35.84092,1986.6
울산(152),129.33469,35.58237,1642.9
창원(155),128.57282,35.17019,2161.1
광주(156),126.89156,35.17294,2116.1
부산(159),129.03203,35.10468,2191.4
통영(162),128.43561,34.84541,2134.3
목포(165),126.38151,34.81732,1577.9
여수(168),127.74063,34.73929,1935.4
흑산도(169),125.45105,34.68719,1366.9
완도(170),126.70182,34.3959,1715.3
고창(172),126.599,35.34824,1232
순천(174),127.3694,35.0204,2139.5
홍성(177),126.68772,36.65759,1584.8
서청주(예)(181),127.396944,36.63972,1746.5
제주(184),126.52969,33.51411,1444.9
고산(185),126.16283,33.29382,1400
성산(188),126.8802,33.38677,2099.1
서귀포(189),126.5653,33.24616,2220.7
진주(192),128.04004,35.16378,2304.8
강화(201),126.44634,37.70739,1377.3
양평(202),127.49446,37.48863,1538.4
이천(203),127.48421,37.26399,1633.4
인제(211),128.16714,38.05986,1225.6
홍천(212),127.88043,37.6836,1392.4
태백(216),128.98929,37.17038,1525.8
정선군(217),128.6459,37.38149,1399.7
제천(221),128.19433,37.15928,1765.7
보은(226),127.73415,36.48761,1870.4
천안(232),127.29282,36.76217,1502.5
보령(235),126.55744,36.32724,1726.7
부여(236),126.92079,36.27242,2165
금산(238),127.48175,36.10563,1800.9
세종(239),127.24438,36.48522,2103.3
부안(243),126.71657,35.72961,1853.6
임실(244),127.28556,35.61203,1984.4
정읍(245),126.83904,35.56337,1937.7
남원(247),127.39652,35.4213,1805.7
장수(248),127.52031,35.65696,2168.1
고창군(251),126.697,35.42661,1513.3
영광군(252),126.47784,35.28366,1496.1
김해시(253),128.89075,35.22981,1879.6
순창군(254),127.1286,35.37131,2097.3
북창원(255),128.6726,35.22655,2087
양산시(257),129.02009,35.30737,2172
보성군(258),127.21226,34.76335,2015.6
강진군(259),126.78408,34.64457,1933.3
장흥(260),126.91951,34.68886,1985.1
해남(261),126.56907,34.55375,1619.3
고흥(262),127.27572,34.61826,1702
의령군(263),128.28812,35.32258,1939.9
함양군(264),127.74538,35.51138,1701
광양시(266),127.6914,34.9434,2274.6
진도군(268),126.25846,34.47296,1540.8
봉화(271),128.91449,36.94361,1828.7
영주(272),128.51687,36.87183,2216.1
문경(273),128.14879,36.62727,1942.7
청송군(276),129.04005,36.4351,1482.2
영덕(277),129.40926,36.53337,1228.7
의성(278),128.68864,36.3561,1575.4
구미(279),128.32055,36.13055,1772.6
영천(281),128.9514,35.97742,1296
경주시(283),129.2009,35.8174,1146.5
거창(284),127.9099,35.66739,1625.4
합천(285),128.16994,35.56505,1771.4
밀양(288),128.74412,35.49147,1874
산청(289),127.8791,35.413,1938.2
거제(294),128.60459,34.88818,2585.5
남해(295),127.92641,34.81662,2699.2
