state,latitude,longitude
AC,-8.88543,-71.06585
AL,-9.70193,-36.72379
AP,0.82718,-51.68468
AM,-5.62568,-64.8237
BA,-12.49971,-41.88721
CE,-5.03498,-39.95362
DF,-15.76773,-47.91253
ES,-19.09209,-40.30518
GO,-15.56892,-49.97315
MA,-4.50947,-44.52393
MT,-12.77125,-56.08221
MS,-20.90897,-54.89503
MG,-17.75796,-45.05125
PA,-5.66743,-52.21203
PB,-6.78338,-35.20753
PR,-24.79557,-52.25831
PE,-8.37121,-38.0559
PI,-7.64942,-42.68768
RJ,-23.02804,-43.46924
RN,-5.66942,-36.93904
RS,-30.09653,-53.66456
RO,-10.95175,-63.33253
RR,1.17869,-61.35265
SC,-27.63377,-50.14893
SP,-22.3794,-49.44581
SE,-12.21216,-36.73423
TO,-11.17939,-48.68736
